"PID","describe","how","why_1","why_2","why_3","why_4","why_5","otherself","antidem","trust","antiest","elect","polparticipation","antidem_1","antidem_2","antidem_3","antidem_4","antidem_5","antiest_1","antiest_2","antiest_3","antiest_4R","trust_con","trust_gov","trust_jud","trust_sci","trust_pol","trust_news","polparticip_1","polparticip_2","polparticip_3","polparticip_4","polparticip_5","polparticip_6","vote_2024","vote_now","ideo_con","ideo_lib","ideo_demsoc","ideo_lbrtn","ideo_prog","party_gen","party_dem","party_rep","party_ind","party_followup","att_1","is_elg","age","gender","race","edu","income","income_num","edu_num","white_bin","man_bin","rep_bin","dem_bin","ind_bin","ai_sentiment","ai_topics","left_behind_score","category","culprit","feeling_vs_objective","culprit_text","rationale","n_reasons","any_gov","any_nonsense","frac_systemic","frac_individual","frac_both","frac_none","top_category","feedback"
"BR518sm","People who have no formal education can feel left behind. People who have little physical strength or endurance often feel left out. People who are very physically unattractive face much discrimination. People who come from a background of severe poverty are very disadvantages in many ways.",41,"poverty","social status","physical strength","ungliness","lack of education",2,2,1.66666666666667,6.5,1,1.66666666666667,1,2,1,2,4,7,7,6,6,2,1,2,2,2,1,5,1,1,1,1,1,"Donald Trump (Republican Party)","Donald Trump (Republican Party)",7,1,1,5,2,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,72,"woman","White","4yearColl","$60,001-$80,000",4,4,1,0,1,0,0,"negative","education; physical strength; physical appearance; poverty",8,"social",0,1,NA,"The response highlights feelings of being left behind due to lack of education, physical attributes, and poverty, without naming a specific responsible party.",5,0,1,0.4,0.2,0.2,0.2,"other","none"
"HN633am","People in America who may be feeling left behind are Democrats, the poor, homeless and immigrants given the current administration's policies.",51,"Lack of support","Lack of resources","Depression","No social network","Confused on what to do",1,1.6,2.5,2.25,0,1.5,2,1,1,2,2,2,2,3,2,2,3,3,2,2,3,4,1,1,1,1,1,"Donald Trump (Republican Party)","Donald Trump (Republican Party)",5,1,1,6,1,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,52,"woman","Asian","4yearColl","$60,001-$80,000",4,4,0,0,1,0,0,"negative","Democrats; poor; homeless; immigrants; current administration's policies",7,"political",1,1,"current administration","The response suggests that certain groups feel left behind due to the policies of the current administration.",5,0,1,0.2,0.4,0.2,0.2,"other",NA
"IF251av","The person feeling left behind is often a working-class individual, possibly middle-aged or older, from a rural or or small town. They have seen their community's jobs vanish due to automation and outsourcing, making their traditional skills feel obsolete. This is compounded by a sense of cultural alienation, as they believe their values are no longer respected in a rapidly changing society.",88,"Economic disruption","Technological Gap","Cultural Alienation","Loss of community",NA,3,3.2,3,4.25,0,4,4,2,5,2,3,5,5,4,3,2,3,3,4,3,3,4,4,4,4,4,4,"Donald Trump (Republican Party)","Donald Trump (Republican Party)",NA,6,5,5,5,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,55,"woman","White","MA","$100,001-$120,000",6,5,1,0,1,0,0,"negative","job loss; cultural alienation; automation; outsourcing",8,"economic",1,1,"automation and outsourcing","The individual feels left behind due to job loss from automation and outsourcing, and cultural alienation in a changing society.",4,0,0,1,0,0,0,"economic",NA
"QH713sj","Their are many people left behind. Starting with the low income people, senior citizens, and the immigrant population. One cannot also for get about the homeless people. America has forgotten about the poor people. The taxes and the tariffs are hurting people tremendously.",50,"money","stress","health","food","benefits",4,1,2.83333333333333,5.25,1,3.83333333333333,1,1,1,1,1,6,5,5,5,2,2,3,4,3,3,5,5,4,3,3,3,"Donald Trump (Republican Party)","Donald Trump (Republican Party)",5,2,1,2,3,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,1,65,"woman","Black or African American","GED","$0-$20,000",1,2,0,0,0,0,1,"negative","low income; senior citizens; immigrants; homelessness; taxes; tariffs",8,"economic",1,0,"America","The response highlights economic struggles faced by various groups and blames America for neglecting the poor.",5,0,1,0,0.2,0,0.8,"other",NA
"IG147ld","Think that the working class person is being left behind in today’s society. Things just keep getting more expensive, but only the rich seem to get benefits and tax cuts.",0,"Low wages","Family poverty","Rising costs",NA,NA,3,1.2,2.83333333333333,5.25,1,2.5,1,1,2,1,1,6,5,5,5,3,3,3,4,2,2,4,3,4,2,1,1,"Kamala Harris (Democratic Party)","Kamala Harris (Democratic Party)",7,1,3,NA,2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,47,"woman","White","GED","$60,001-$80,000",4,2,1,0,0,1,0,"negative","economic inequality; cost of living; tax policy",8,"economic",1,1,"the rich","The response highlights the economic struggles of the working class and suggests that the rich are benefiting disproportionately.",3,0,0,1,0,0,0,"economic",NA
"ES187sd","I felt like we have been left behind in previous years, I feel things are getting better and we will start seeing a better situation in the coming years ahead.",1,"Inflation","Job Opportunites","Interest Rates","Mortgage Rates","Wages",2,2.4,1.83333333333333,5,1,1.5,1,4,2,4,1,5,6,6,3,3,3,1,1,2,1,2,1,1,2,2,1,"I did not vote","Donald Trump (Republican Party)",7,5,5,1,5,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,51,"woman","White","4yearColl","$60,001-$80,000",4,4,1,0,1,0,0,"mixed","feeling left behind; improvement",5,"social",0,1,NA,"The response expresses a feeling of being left behind in the past but also optimism for future improvement.",5,0,0,1,0,0,0,"economic",NA
"QK826lr","I think the people being left behind is the people in minimum wage jobs. Minimum wage is not enough for people to survive on. They are stuck renting places. And rent just keeps going up.",0,"Not enough money","Don’t own a house","Dead end job",NA,NA,2,2,2.33333333333333,4.75,1,1.16666666666667,2,2,2,2,2,4,6,4,5,2,2,3,3,2,2,2,1,1,1,1,1,"Donald Trump (Republican Party)","J. D. Vance (Republican Party)",5,2,1,1,4,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,41,"woman","White","GED","$40,001-$60,000",3,2,1,0,1,0,0,"negative","minimum wage; rent; cost of living",7,"economic",0,0,NA,"The response highlights the economic struggles of people in minimum wage jobs, focusing on the inadequacy of wages and rising rent costs.",3,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0,"economic",NA
"OD524if","This person could be either conservative or progressive, depending on who their leaders are in government at national or local levels. This could be someone in poverty or not, who is subject to social media and political divisiveness. This person could be just about anyone, but I think especially people who are lower wage earners who consistently feel ""not listened to"" when leaders constantly talk about how well the stock market is doing, etc.",39,"they are economically disadvantaged","some are liberal and feel disadvantaged","some are conservative and feel disadvantaged",NA,NA,4,1.8,2.83333333333333,4.25,1,3.16666666666667,2,1,2,2,2,5,5,4,3,2,3,3,4,2,3,5,1,5,2,4,2,"Kamala Harris (Democratic Party)","Gavin Newsom (Democratic Party)",2,5,5,3,5,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,66,"man","White","GED","$20,001-$40,000",2,2,1,1,0,1,0,"mixed","political divisiveness; social media; economic disparity",6,"social",1,1,"leaders","The response highlights feelings of being 'not listened to' by leaders, especially among lower wage earners, due to political and economic factors.",3,0,0,0.333333333333333,0.666666666666667,0,0,"social",NA
"ZS865le","I think the working class and middle class are feeling ignored and left behind. I am a part of those 2 groups. The middle class has chosen respectable jobs and work hard to support society and themselves. Even with all the hard work, we are being hammered with inflation that we cannot possibly keep up with. It has been very difficult or even impossibly to buy a modest home to live in. When inflation rises, upper class does not seem to be impacted much at all. They receive the same rates but are caple of paying them without affecting their quality of life.",50,"Lack of respect","Financial difficulties","Fair education","Lack of quality family time","Less access to quality healthcare",4,2.6,2.83333333333333,4.5,1,2.83333333333333,3,2,2,3,3,5,5,5,3,3,3,3,3,3,2,4,2,3,3,3,2,"Donald Trump (Republican Party)","Donald Trump (Republican Party)",5,1,1,2,3,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,1,56,"woman","White","2yearColl","$20,001-$40,000",2,3,1,0,0,0,1,"negative","working class; middle class; inflation; housing",8,"economic",0,1,NA,"The response expresses a feeling of being ignored and left behind due to economic challenges like inflation and housing affordability, particularly affecting the working and middle class.",5,0,0,0.4,0.4,0.2,0,"social","none"
"ZW808xn","the typical nine to five worker. people who are living paycheck to paycheck with no extra income. that believe working a job is the only way. the people who tend to steer clear of social media and technological advancement.",50,"career development","financial freedom","status","networking","technology advancement",2,2.2,1.83333333333333,6,1,3.66666666666667,1,1,4,1,4,5,5,7,7,2,2,1,3,2,1,5,3,5,3,3,3,"Donald Trump (Republican Party)","I would not vote",4,7,NA,7,7,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,1,32,"man","Black or African American","4yearColl","$60,001-$80,000",4,4,0,1,0,0,1,"negative","economic hardship; technological gap",7,"economic",0,1,NA,"The response highlights economic struggles and a lack of engagement with technology, suggesting a feeling of being left behind.",5,0,1,0.2,0.6,0,0.2,"economic","n/a"
"IS771mw","I think that most minorities, in race, socioeconomic backgrounds, and other things like gender, are probably the most left behind by our current administration. They are rolling back services and rights in a way that I've never seen before. It seems like our country is really taking a turn for the worse, and these groups are the ones primarily targeted.",45,"Attack on rights","Less services","Less resources","Dangerous rhetoric","Public backlash",3,3.2,2.16666666666667,6.25,0,4,2,3,3,5,3,7,6,5,7,2,1,2,4,2,2,4,3,5,5,5,2,"Kamala Harris (Democratic Party)","Gavin Newsom (Democratic Party)",1,5,7,3,6,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,29,"man","Asian","4yearColl","$140,001-$160,000",8,4,0,1,0,1,0,"negative","minorities; administration; services; rights",8,"political",1,1,"current administration","The response expresses concern about minorities being targeted by the administration's rollback of services and rights, indicating a feeling of being left behind.",5,0,0,1,0,0,0,"political",NA
"UY005ie","I think the groups that are left behind are the most marginalized groups, such as gender and sexual minorities, people with disabilities, people who live below the poverty line. We are seeing a lot of division amongst our country and I believe that is due to uncertainty and fear of the unknown. I think the people who exist in the 1% are hoarding all of the wealth and resources from those who need it most.",40,"discrimination","lack of access to wealth","lack of access to resources","low health literacy","marginalization",3,4,2.66666666666667,5.25,0,2.16666666666667,4,4,4,4,4,6,4,5,6,2,3,3,3,2,3,2,3,2,2,2,2,"Kamala Harris (Democratic Party)","Kamala Harris (Democratic Party)",2,5,5,4,5,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,29,"woman","White","MA","$80,001-$100,000",5,5,1,0,0,1,0,"negative","marginalized groups; wealth inequality; division",8,"economic",1,1,"the 1%","The response highlights marginalized groups being left behind due to wealth hoarding by the 1% and societal division.",5,0,0,0.8,0,0.2,0,"social",NA
"BP912xe","This person is feeling left behind because of low work opportunities. Possibly disabled with the constant run-around from today's medical field. Rising prices in the stores resulting in more stress more adjustments to survive. This person receives some assistance but not nearly enough in todays economy.",25,"High prices","No work","Disability","Poor medical","Low assistance",3,2.8,2.83333333333333,5.25,1,2,2,2,2,3,5,5,6,6,4,3,2,3,4,3,2,5,1,3,1,1,1,"I did not vote","Donald Trump (Republican Party)",5,1,NA,NA,NA,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,1,40,"man","White","GED","$20,001-$40,000",2,2,1,1,0,0,1,"negative","low work opportunities; medical field; rising prices; economic assistance",7,"economic",0,1,NA,"The response highlights feelings of being left behind due to economic challenges such as low work opportunities and rising prices, with a focus on personal experience.",5,0,0,0.8,0.2,0,0,"social","Went very well."
"QZ918wy","In the current United States, the people who are being left behind the most are reasonable people just trying to live their lives without government interference. These are people who want their children educated in good public schools without the interference of book banners and pushers of Christianity. They are people who want to vaccinate their children without the interference of anti-vaxxer government officials who should never have been granted the power they have to influence medical decisions. They are people who want to plan their families or have abortion as an option when its medically necessary. They are people who want to be able to send their children to school without worrying about them being gunned down by yet another gun-toting maniac in a nation of too many guns and too few gun restrictions. These people are of all races, colors, and creeds, but their voices are being drowned out by a media who describes a fascist takeover in terms of a horse-race instead of the real danger it represents. The reasonable, average American is the most overlooked, while the crackpots, the anti-vaxxers, and the radical right wingers are advancing us all straight into authoritarianism. That's how things are working today, and it's frightening to witness.",70,"The media is not accurately reporting the truth to them.","Politicians aren't fighting for them.","Their votes are being gerrymandered so that they no longer count.","They see the country marching backwards with every ruling by a radical Supreme Court","The number of dead children in schools only increases, and nothing is ever done to help.",5,2.6,2.66666666666667,5.75,1,4.33333333333333,3,2,3,2,3,7,6,5,5,2,2,3,4,2,3,5,4,5,4,4,4,"Kamala Harris (Democratic Party)","Gavin Newsom (Democratic Party)",1,7,7,1,7,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,51,"man","White","4yearColl","$40,001-$60,000",3,4,1,1,0,1,0,"negative","government interference; education; vaccination; abortion rights; gun control; media bias; authoritarianism",8,"political",1,1,"anti-vaxxer government officials, media, radical right wingers","The response highlights feelings of being left behind due to political interference and media bias, with specific groups identified as responsible.",5,1,0,1,0,0,0,"political","Best of luck with your research!"
"QW635bx","People in the middle class whose jobs may be taken away by advancing society. There are some lower class people who fall through the cracks, but I think some of that is due to individual personality. But when you are told to go to college, find a passion, like the middle class has been told over time and then you graduate and find there is nothing left for you and your skills are not valued, it can be devastrating.",26,"no jobs","failed expectations","no respect for their skills",NA,NA,2,2.4,2.16666666666667,4.75,1,2.66666666666667,3,2,2,4,1,2,5,5,7,1,2,4,3,2,1,4,4,3,2,2,1,"Donald Trump (Republican Party)","Donald Trump (Republican Party)",6,2,1,5,4,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,34,"woman","White","4yearColl","$40,001-$60,000",3,4,1,0,1,0,0,"mixed","middle class; job displacement; education; skills valuation",5,"economic",0,1,NA,"The response highlights the emotional impact on the middle class when their skills are undervalued, despite following societal advice, indicating a feeling of being left behind.",3,0,0,0.333333333333333,0.333333333333333,0,0.333333333333333,"economic",NA
"HX142vt","I believe minorities are being left behind in the United States in terms of being treated with respect and not having access to affordable housing, education, health services, and other social services etc. We should also include illegal immigrants who are being hunted down by a right wing administration.",50,"Substandard and unaffordable housing","Substandard and unaffordable education","Substandard and unaffordable health services","Substandard and unaffordable social and economic services in general",NA,2,1.8,2.83333333333333,3.75,1,1.83333333333333,2,2,2,1,2,6,3,2,4,2,3,3,4,2,3,4,3,1,1,1,1,"Kamala Harris (Democratic Party)","Gavin Newsom (Democratic Party)",1,5,5,4,5,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,55,"man","Hispanic, Latino, or Spanish origin","2yearColl","$20,001-$40,000",2,3,0,1,0,1,0,"negative","minorities; affordable housing; education; health services; illegal immigrants",8,"social",1,1,"right wing administration","The response highlights feelings of minorities being left behind due to lack of access to essential services and being targeted by political actions.",4,0,0,1,0,0,0,"social","I do not have any comment or feedback to provide."
"LW509oi","I believe the immigrants in this country are feeling left behind and scared of not knowing what will happen to them or their families from day to day. The USA is supposed to be a country of freedom that welcomes people from all around the world. America was created from people who came to America to seek a better life and freedom. Now the country is starting to seem more like a Communist country .",46,"Mad","Sad","Anger","Despair","Disappointment",3,2.6,2.16666666666667,6,1,3.16666666666667,2,1,4,2,4,6,6,7,5,2,2,2,3,1,3,5,3,5,3,2,1,"Kamala Harris (Democratic Party)","Gavin Newsom (Democratic Party)",4,3,3,4,3,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,38,"man","Asian","4yearColl","$80,001-$100,000",5,4,0,1,0,1,0,"negative","immigration; freedom; fear",7,"social",0,1,NA,"The response expresses concern about immigrants feeling left behind and fearful, highlighting a perceived shift away from American values of freedom.",5,0,1,0,0.2,0,0.8,"other",NA
"XS566ox","I'm the kind of person that is feeling left behind . The middle aged moderate is a person with a party or anyone speaking up for them . I'm sure no right wing MAGA red hat wearing moron , but I also no longer really fit in the lefty wackoos who do not know if they are a man or woman or which bathroom they should use . I need a 3rd party for just hard working common sense trustworthy americans.",80,"no longer fit in","hate both dems and republicans","feel like they have no one speaking for them","they are some where in the middle and most of the country is far left and far right","no political party feels like they want them",5,1,1.83333333333333,6,0,2.5,1,1,1,1,1,6,6,6,6,1,1,3,3,1,2,5,4,3,1,1,1,"Kamala Harris (Democratic Party)","Gavin Newsom (Democratic Party)",1,2,3,2,2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,50,"man","White","4yearColl","$40,001-$60,000",3,4,1,1,0,1,0,"mixed","political representation; identity; third party",7,"political",0,1,NA,"The response expresses a feeling of being politically unrepresented and disconnected from both major parties, indicating a sense of being left behind.",5,0,1,0.4,0.2,0,0.4,"political",NA
"KR361he","I believe people who did not attend college are some of those that feel left behind. That includes me, the working class who were relying on decent stable jobs are now becoming scare. It's been pretty tough even for me to even get a warehouse job.",87,"skills","confidence","social skills","networking",NA,5,NA,2.16666666666667,4.75,1,2.83333333333333,NA,NA,NA,NA,NA,4,6,5,4,2,1,2,4,2,2,2,2,4,3,3,3,"Kamala Harris (Democratic Party)","Kamala Harris (Democratic Party)",NA,4,4,4,NA,"Independent",NA,NA,"Neither","Independent | Neither",1,1,27,"man","Hispanic, Latino, or Spanish origin","GED","$20,001-$40,000",2,2,0,1,0,0,1,"negative","education; employment; working class",7,"economic",0,1,NA,"The response expresses a personal feeling of being left behind due to the scarcity of stable jobs for those without a college education.",4,0,0,0,1,0,0,"other",NA
"JU593vn","The kind of people feeling left behind today is often the middle aged working class man who trade or industry where they work has been outsourced or replace by technology. He is struggling only only to keep up financially but aslo to understand a world that seems to be moving on without him. He feels his hard work no longer provides the same opportunities as it once did and that society and politicians have forgotten about his way of life",50,"He is struggling to keep up financially as his hard work no longer provides the same opportunities it once did","Since the trade or industry he works in has been replaced by technology leaving him without stable employment","They feels that the world is moving on without them and that their way of life is no longer valved or understood","Political and social neglect, he believes that the society and the political systen have forgotten about him and people like him",NA,2,1,2.33333333333333,5.25,1,2.33333333333333,1,1,1,1,1,5,6,5,5,2,2,3,3,2,2,5,2,2,2,2,1,"Donald Trump (Republican Party)","I would not vote",5,5,3,4,6,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,45,"man","White","MA","$140,001-$160,000",8,5,1,1,1,0,0,"negative","outsourcing; technology; working class; politicians",7,"economic",1,1,"society and politicians","The response highlights feelings of being left behind due to economic changes and perceived neglect by society and politicians.",4,1,0,0.5,0.25,0.25,0,"economic",NA
"ZH364be","I think that anyone who isn't a white middle-class or above, heterosexual, and cisgender is feeling left behind right now. More than that, they feel attacked. They feel that the Federal government is going to extensive lengths to marginalize them into virtual nonexistence.",60,"attacks on gender-affirming care","removal of information about slavery in schools and museums","removal of protections for LGBTQ members of the military","Brutal incarceration of suspected illegal immigrants, some of whom are here legally",NA,3,1.6,2.33333333333333,4.75,1,4.16666666666667,1,1,2,2,2,6,5,4,4,2,2,2,4,2,2,5,5,4,4,3,4,"Kamala Harris (Democratic Party)","Kamala Harris (Democratic Party)",1,7,6,1,7,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,48,"man","White","2yearColl","$100,001-$120,000",6,3,1,1,0,1,0,"negative","marginalization; government actions; identity",8,"social",1,1,"Federal government","The response highlights feelings of being marginalized and attacked by the Federal government, indicating a strong sense of being left behind.",4,1,0,1,0,0,0,"social",NA
"CH849iz","I would say people who want to keep the US as a global power and a beacon of democracy and liberalism to the world. Trump and his MAGA cult has corrupted the US with a cancer called populism which claws at our society.",100,"Donald Trump","MAGA","Tariffs","Wars","Populism",1,1,4,1,0,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,1,1,1,1,1,1,"Donald Trump (Republican Party)","Gavin Newsom (Democratic Party)",4,7,1,1,4,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,22,"man","Asian","GED","$40,001-$60,000",3,2,0,1,1,0,0,"negative","US global power; democracy; populism",5,"political",1,1,"Trump and his MAGA cult","The response expresses concern about the impact of populism on US democracy and global standing, attributing blame to Trump and his supporters.",5,1,1,0.6,0,0,0.4,"other",NA
"GU002pb","I often think about the term the ""American Dream"" a lot, especially now after hearing about all of the immigration stories. Before, thousands, maybe even a million people immigrated to the US for a better life. We were the ""destination"" country, to come and get an education for, grab a job, and be able to help their families back home. Now? We've lost all sight of that... now it's just greedy in here. And white people trying to claim this their home when in reality it's all of our homes. (Really, it's the Native American's homes...) Now, it's overridden, overworked, only the rich can cater to the rich while the poor struggle to stay alive admist their pile of bills that they owe. That kind of person would probably feel depressed... maybe even suicidal. If anything, they might be making plans to leave the country.",40,"Feeling like they cannot stand up or get themselves together.","Thinking that things cannot get any better.","Being overwhelmed by the constant state of fear and anxiety of just being in this country.","Having to walk on eggshells near certain people.",NA,3,2.8,2.16666666666667,6.5,1,4.83333333333333,5,1,3,1,4,7,7,5,7,1,1,2,4,2,3,5,5,5,5,5,4,"Kamala Harris (Democratic Party)","Kamala Harris (Democratic Party)",1,7,7,6,7,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,25,"woman","Hispanic, Latino, or Spanish origin","4yearColl","$0-$20,000",1,4,0,0,0,1,0,"negative","American Dream; immigration; inequality; Native Americans",8,"social",1,1,"greedy individuals, rich people, systemic inequality","The response expresses a negative sentiment about the current state of the American Dream, highlighting social inequality and the struggles of the poor.",4,0,0,0.25,0.75,0,0,"other","N/a"
"LR209uv","The one feeling left behind are the minorities and those who cannot afford the living standards in the country comfortably. For the minorities, there are cases of discrimination and it makes them left behind and hurt by all the mess we face as a country. The poor or low class also suffer for failing to meet their basics.",16,"Poor living conditions","Harassment","Lack of basic amenities",NA,NA,2,1.6,2.83333333333333,3.25,1,3.33333333333333,2,3,1,1,1,5,3,3,2,3,3,3,3,2,3,3,3,4,2,4,4,"Donald Trump (Republican Party)","Donald Trump (Republican Party)",3,6,3,5,3,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,45,"man","White","4yearColl","$100,001-$120,000",6,4,1,1,1,0,0,"negative","discrimination; poverty; living standards",7,"social",0,1,NA,"The response highlights feelings of being left behind due to discrimination and economic struggles among minorities and low-income individuals.",3,0,0,0.666666666666667,0.333333333333333,0,0,"social",NA
"NU629wr","I think any one of color is feeling left behind. Also, anyone that is not rich is feeling left behind and forgotten about.",39,"They don't get the same benifits","They feel disenfranchised","They feel that they get harsher punishments",NA,NA,3,2,2.33333333333333,6,1,4,2,2,2,2,2,6,6,6,6,1,2,2,4,2,3,5,4,5,3,4,3,"Kamala Harris (Democratic Party)","Gavin Newsom (Democratic Party)",1,5,4,3,5,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,58,"man","White","2yearColl","$60,001-$80,000",4,3,1,1,0,1,0,"negative","inequality; economic disparity",8,"social",0,1,NA,"The response highlights feelings of being left behind among people of color and those who are not wealthy.",3,0,0,0.666666666666667,0.333333333333333,0,0,"social",NA
"RD417ye","Everyone who is not participating in crony capitalism is being hurt. Those who have the money to give them unfair power are sucking up every penny that they can and laughing at what they see as the suckers who aren't stopping them.",15,"Resources are not available","Pricing has been fixed to benefit the few","Government is now an enemy of the common resident",NA,NA,4,2,2.5,5,1,2.16666666666667,1,1,2,2,4,7,4,3,6,2,2,2,4,2,3,5,1,2,2,2,1,"Kamala Harris (Democratic Party)","Alexandria Ocasio-Cortez",7,1,1,7,1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,70,"man","White","2yearColl","$40,001-$60,000",3,3,1,1,0,1,0,"negative","crony capitalism; economic inequality",8,"economic",1,0,"those with money and power","The response highlights economic inequality and blames those with money and power for exploiting others.",3,1,0,1,0,0,0,"economic",NA
"ZH303ej","I think the kind of person being left behind by the way things are currently done in the U.S. is a working class person. This person makes a decent living, has a modest home and modest car. This person is mostly to pay all their bills, but most months misses a bill or pays them late. This person works a steady 9-5 job and has to do some side hustles to supplement their income. This person is exhausted and feels like it's a never ending battle to survive in this society and economy. They feel like they will never be above water and thriving, even though they already work so hard.",21,"never makes enough money to get ahead","always exhausted","can't keep up with expenses",NA,NA,4,NA,2.33333333333333,5,1,1.66666666666667,NA,NA,NA,NA,NA,5,5,6,4,2,2,3,3,2,2,3,1,2,2,1,1,"Donald Trump (Republican Party)","Gavin Newsom (Democratic Party)",3,4,3,NA,4,"Independent",NA,NA,"Neither","Independent | Neither",1,1,39,"woman","White","GED","$80,001-$100,000",5,2,1,0,0,0,1,"negative","working class; economic struggle; side hustles",7,"economic",0,1,NA,"The response describes the working class feeling exhausted and struggling economically, indicating a sense of being left behind.",3,0,0,0,0.666666666666667,0.333333333333333,0,"economic",NA
"IW068ln","The working class and the poor. The common everyday has been forgotten by most of the higher society due to the decisions made by people no longer alive.",35,"economics desparity","stagnant minimum wage","lack of community","the job market",NA,3,1,2.33333333333333,5.25,1,2.66666666666667,1,1,1,1,1,5,5,5,6,2,1,3,3,2,3,4,2,3,3,2,2,"Donald Trump (Republican Party)","Gavin Newsom (Democratic Party)",5,5,5,3,5,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,21,"man","Hispanic, Latino, or Spanish origin","GED",NA,NA,2,0,1,1,0,0,"negative","working class; poverty; social inequality",8,"social",1,1,"higher society, past decision-makers","The response indicates a negative sentiment towards the neglect of the working class and poor by higher society, attributing it to past decisions.",4,1,0,1,0,0,0,"economic","No"
"MB015ck","The kind of person whom I feel is being left behind by the way things work today is the individual (s) whom are only ""seen"" via online data run through algorithms. For example, I would be an excellent choice for many office jobs. I am as mentally fit as I have always been, and I am honest and hard working. However, my age is 68, and for that reason I'm invisible to employers. I am blessed to be able to do online studies, and I'm extremely thankful and grateful that there is no ageism on this platform. This issue is not exclusive to older people. Poor people who are not online, or people no familiar with technology are left out as well. Years ago one went inside a business, inquired as to if they were hiring, and had a face to face meeting. Now the manager pulls the lists out of the data AI has gone through and the people being called may be so much less qualified than those who cannot be heard or seen. AI has a very valuable role in business and today's world, but it also narrows, tremendously, the ability for certain demographic groups to be treated equally.",20,"Lack of job opportunities","Lack of ability to sign up for benefits","Lack of ability to bank or be paid","Lack of ability to find medical facilities or other medical data","Lack of ability to be connected to the world as it currently is",3,2.8,2.33333333333333,3.75,1,2.33333333333333,2,3,3,2,4,5,3,3,4,2,3,3,3,1,2,5,1,1,3,2,2,"Kamala Harris (Democratic Party)","Donald Trump (Republican Party)",4,3,1,2,3,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,1,68,"woman","White","4yearColl","$20,001-$40,000",2,4,1,0,0,0,1,"mixed","ageism; technology; employment; AI",7,"economic",1,1,"AI and technology systems","The response highlights feelings of being overlooked due to age and technology, suggesting a subjective experience of exclusion.",5,0,0,0.8,0.2,0,0,"social","In my written response I used poor grammar in one instance.  I meant to type ""not"" and ""no"" is what shows.  This is important for me, as I do not want to appear ignorant.  Thank you for a very thought provoking and interesting study."
"KM462yb","With Trump in office I would estimate greater than 60% of mostly the lower classes are feeling left behind by the way that they are being fleeced through the unbalanced tax and tariffs that are being lobsidedly mposed on them fo the beneft of the top 2% by wealth in this country.",50,"The tarrifs will eat into their budgets","their healthcare costs are going to go up","their social services are going down","their consumer protection rights are being scaled back","their basic constitutional rights are being challenged",5,NA,1.83333333333333,6.25,1,2.33333333333333,NA,NA,NA,NA,NA,7,7,4,7,1,1,3,4,1,1,5,2,2,3,1,1,"Kamala Harris (Democratic Party)","Alexandria Ocasio-Cortez",3,4,5,4,4,"Independent",NA,NA,"Neither","Independent | Neither",1,1,55,"man","multiracial","4yearColl","$40,001-$60,000",3,4,0,1,0,0,1,"negative","tax; tariffs; wealth inequality",8,"economic",1,1,"Trump administration","The response indicates that the lower classes feel left behind due to policies benefiting the wealthy.",5,1,0,1,0,0,0,"economic",NA
