"PID","Status","StartDate","Progress","Duration..in.seconds.","Finished","consent","gender_.99_TEXT","race_8_TEXT","age","feedback","Election","CAND_1","CAND_2","RACETYPE","vote_who","vote_who_3_TEXT","vote_who_nyc","vote_who_nyc_8_TEXT","gender","race_1","race_2","race_3","race_4","race_5","race_6","race_7","race_8","income","edu"
"QS429ek","0","2025-11-05 23:53:17","100","36","1","1","","","24","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","","Hispanic, Latino, or Spanish origin","","","","","","","$60,001-$80,000","2yearColl"
"KC099mi","0","2025-11-06 00:08:22","100","25","1","1","","","25","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","woman","","Hispanic, Latino, or Spanish origin","","","","","","","$40,001-$60,000","4yearColl"
"ET140jy","0","2025-11-06 00:48:06","100","47","1","1","","","27","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","Over $200,000","4yearColl"
"YR233so","0","2025-11-06 00:53:09","100","59","1","1","","","25","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","","","","","man","","Hispanic, Latino, or Spanish origin","","","","","","","$60,001-$80,000","GED"
"IY747rr","0","2025-11-06 02:38:31","100","37","1","1","","","33","","Seattle","Bruce Harrell","Katie Wilson","Mayoral","${e://Field/CAND_2}","","","","man","White","","","Asian","","","","","$180,001-$200,000","MA"
"TG553iq","0","2025-11-06 02:42:06","100","35","1","1","nonbinary","","31","n/a - thanks!","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","",NA,"White","","","","","","","","$0-$20,000","4yearColl"
"OZ371na","0","2025-11-06 05:07:00","100","35","1","1","","","69","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","White","","","","","","","","$140,001-$160,000","GED"
"LA997hi","0","2025-11-06 05:46:31","100","27","1","1","","","40","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_1}","","","","woman","White","","","","","","","","$180,001-$200,000","4yearColl"
"KB832sh","0","2025-11-06 05:58:30","100","85","1","1","","","39","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","","","Black or African American","","","","","","$80,001-$100,000","4yearColl"
"RV794ye","0","2025-11-06 07:09:43","100","27","1","1","","","43","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","I have not voted","","woman","","","","Asian","","","","","$100,001-$120,000","4yearColl"
"OZ118gv","0","2025-11-06 07:37:40","100","21","1","1","","","31","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","","","","","man","","","","Asian","","","","","$80,001-$100,000","4yearColl"
"TR853gz","0","2025-11-06 07:43:45","100","37","1","1","","","50","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_1}","","","","woman","White","","","","","","","","$100,001-$120,000","MA"
"JU494pu","0","2025-11-06 07:54:34","100","25","1","1","","","38","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_2}","","woman","White","","","","","","","","Over $200,000","MA"
"XS376pv","0","2025-11-06 08:56:45","100","34","1","1","","","18","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","woman","White","","","","","Middle Eastern or North African","","","Over $200,000","GED"
"OM665cd","0","2025-11-06 09:06:56","100","110","1","1","","","39","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","man","","Hispanic, Latino, or Spanish origin","Black or African American","","","","","","Over $200,000","PHD"
"PT117ou","0","2025-11-06 09:24:13","100","40","1","1","","","52","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","$160,001-$180,000","MA"
"QJ317re","0","2025-11-06 09:22:51","100","227","1","1","","","35","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","woman","White","","","","","","","","$20,001-$40,000","GED"
"QZ707yt","0","2025-11-06 09:53:44","100","23","1","1","","","38","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","man","White","","","","","","","","$120,001-$140,000","4yearColl"
"BZ933ap","0","2025-11-06 10:16:25","100","33","1","1","","","37","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","$0-$20,000","MA"
"JY391ws","0","2025-11-06 10:34:23","100","29","1","1","","","32","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_1}","","","","woman","White","","","","","","","","$60,001-$80,000","2yearColl"
"PW423em","0","2025-11-06 10:38:39","100","59","1","1","","","56","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","$80,001-$100,000","4yearColl"
"PC461qr","0","2025-11-06 10:48:27","100","22","1","1","","","37","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_1}","","","","man","White","","","","","","","","$140,001-$160,000","4yearColl"
"XL740mz","0","2025-11-06 11:21:51","100","27","1","1","","","47","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_1}","","","","man","White","","","","","","","","Prefer not to answer","GED"
"GW402fk","0","2025-11-06 12:10:59","100","39","1","1","","","29","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","woman","","Hispanic, Latino, or Spanish origin","","","","","","","$20,001-$40,000","GED"
"YM224cr","0","2025-11-06 12:34:08","100","55","1","1","","","40","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","White","","","","","","","","$40,001-$60,000","GED"
"DD403sv","0","2025-11-06 12:54:21","100","220","1","1","","","27","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","woman","","","Black or African American","","","","","","$60,001-$80,000","2yearColl"
"ZC667mr","0","2025-11-06 13:12:56","100","41","1","1","","","28","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","I have not voted","","woman","White","","","","","","","","$40,001-$60,000","4yearColl"
"XF345fi","0","2025-11-06 13:32:04","100","41","1","1","","","30","","Minneapolis","Jacob Frey","Omar Fateh","Mayoral","${e://Field/CAND_1}","","","","woman","White","","","","","","","","$60,001-$80,000","MA"
"UD814sw","0","2025-11-06 13:37:18","100","34","1","1","","","29","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_2}","","woman","White","","","","","","","","Over $200,000","4yearColl"
"SA761zd","0","2025-11-06 14:13:28","100","58","1","1","","","35","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","$140,001-$160,000","GED"
"VW756wq","0","2025-11-06 14:33:37","100","667","1","1","","","43","","Minneapolis","Jacob Frey","Omar Fateh","Mayoral","Other","DeWayne Davis","","","woman","White","","","","","","","","$40,001-$60,000","4yearColl"
"RE905az","0","2025-11-06 14:45:57","100","161","1","1","","","33","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","","Hispanic, Latino, or Spanish origin","","","","","","","$100,001-$120,000","4yearColl"
"ZO724vr","0","2025-11-06 14:49:58","100","76","1","1","","","28","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","man","","","","Asian","","","","","$60,001-$80,000","4yearColl"
"MY870bf","0","2025-11-06 14:55:18","100","58","1","1","","","44","I am not committed to any ""party"".  I am independent.","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","","","Black or African American","","","","","","$100,001-$120,000","4yearColl"
"ZN572wy","0","2025-11-06 15:12:36","100","27","1","1","","","27","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","man","White","","","","","","","","$80,001-$100,000","MA"
"RQ063iz","0","2025-11-06 16:11:19","100","61","1","1","","","60","none","Seattle","Bruce Harrell","Katie Wilson","Mayoral","${e://Field/CAND_1}","","","","woman","","","Black or African American","","","","","","$20,001-$40,000","2yearColl"
"XF374ny","0","2025-11-06 16:38:39","100","22","1","1","","","31","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","woman","","","","Asian","","","","","$140,001-$160,000","4yearColl"
"NX642jm","0","2025-11-06 16:59:47","100","44","1","1","","","30","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","","","Black or African American","","","","","","$0-$20,000","4yearColl"
"EN523pg","0","2025-11-06 17:18:20","100","61","1","1","","","26","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","White","","","","","","","","$100,001-$120,000","4yearColl"
"EA307ny","0","2025-11-06 17:53:18","100","64","1","1","","","21","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","woman","","","","Asian","","","","","$0-$20,000","GED"
"OD774fy","0","2025-11-06 19:29:19","100","40","1","1","","","61","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","$20,001-$40,000","4yearColl"
"TL796bo","0","2025-11-06 21:25:00","100","24","1","1","","","34","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","man","","Hispanic, Latino, or Spanish origin","","","","","","","$0-$20,000","GED"
"RQ250os","0","2025-11-06 21:35:19","100","33","1","1","","","36","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_1}","","","","man","","Hispanic, Latino, or Spanish origin","","","","","","","$60,001-$80,000","4yearColl"
"FB782gm","0","2025-11-06 21:41:50","100","30","1","1","","","53","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","$100,001-$120,000","2yearColl"
"JZ347dh","0","2025-11-06 21:49:13","100","72","1","1","","","46","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","","","","",NA,"White","","","","","","","","$0-$20,000",NA
"TW617be","0","2025-11-06 21:54:12","100","40","1","1","nonbinary","","33","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","",NA,"White","","","Asian","","","","","$0-$20,000","GED"
"TG698zt","0","2025-11-06 22:16:53","100","189","1","1","","","33","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","Over $200,000","PHD"
"TL004op","0","2025-11-06 22:38:20","100","140","1","1","","","66","","Seattle","Bruce Harrell","Katie Wilson","Mayoral","","","","","woman","","","","Asian","","","","","$40,001-$60,000","4yearColl"
"VT896go","0","2025-11-06 22:48:04","100","46","1","1","","","21","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_1}","","","","man","White","","","Asian","","","","","$60,001-$80,000","GED"
"SM684cd","0","2025-11-07 03:42:00","100","90","1","1","","","38","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","$60,001-$80,000","2yearColl"
"ID524qp","0","2025-11-07 06:14:40","100","32","1","1","","","28","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","$80,001-$100,000","4yearColl"
"GB434we","0","2025-11-07 07:54:02","100","41","1","1","","","66","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_1}","","","","woman","White","","","","","","","","$40,001-$60,000","GED"
"EJ349rd","0","2025-11-07 08:01:23","100","50","1","1","","","82","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_1}","","","","woman","White","","","","","","","","$40,001-$60,000","GED"
"SF309gj","0","2025-11-07 08:50:08","100","36","1","1","","","37","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","$120,001-$140,000","4yearColl"
"RY713mz","0","2025-11-07 09:01:50","100","127","1","1","","","38","","Minneapolis","Jacob Frey","Omar Fateh","Mayoral","${e://Field/CAND_1}","","","","woman","White","","","","","","","","$20,001-$40,000","2yearColl"
"ZR648ru","0","2025-11-07 09:04:58","100","33","1","1","","","35","no comments thank you","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_1}","","","","man","White","","","","","","","","$160,001-$180,000","4yearColl"
"HR599oo","0","2025-11-07 09:05:49","100","58","1","1","","","30","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","","","Black or African American","","","","","","$40,001-$60,000","MA"
"VS389vp","0","2025-11-07 09:54:09","100","22","1","1","","","43","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","White","","","","","","","","Over $200,000","4yearColl"
"EQ437fx","0","2025-11-07 10:12:29","100","175","1","1","","","52","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","Black or African American","","American Indian or Alaska Native","","","","$60,001-$80,000","GED"
"UZ113kw","0","2025-11-07 10:34:05","100","31","1","1","","","36","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","man","White","","","Asian","","","","","$60,001-$80,000","4yearColl"
"MW758ne","0","2025-11-07 10:35:59","100","55","1","1","trans","","28","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","",NA,"","","","","","Middle Eastern or North African","","","$60,001-$80,000","GED"
"DT673ua","0","2025-11-07 11:58:18","100","75","1","1","","","39","get that in your data that NJ is not going to tolerate MAGA!!!","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","Over $200,000","4yearColl"
"NI175le","0","2025-11-07 12:01:32","100","37","1","1","","","24","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","I have not voted","","woman","","","","Asian","","","","","$0-$20,000","MA"
"UK158gr","0","2025-11-07 12:10:47","100","31","1","1","","","43","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","$100,001-$120,000","PHD"
"RD641uk","0","2025-11-07 15:39:40","100","25","1","1","","","25","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","White","","","","","","","","Prefer not to answer",NA
"RU160di","0","2025-11-07 17:14:28","100","38","1","1","","","54","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","","","Black or African American","","","","","","Over $200,000","MA"
"HQ828uk","0","2025-11-07 17:37:00","100","56","1","1","","","54","No comments.","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","","","","","woman","White","","","","","","","","$160,001-$180,000","4yearColl"
"XV177nq","0","2025-11-07 17:42:08","100","22","1","1","","","50","","Seattle","Bruce Harrell","Katie Wilson","Mayoral","${e://Field/CAND_1}","","","","man","White","","","","","","","","$140,001-$160,000","4yearColl"
"SL063eh","0","2025-11-07 18:41:38","100","21","1","1","","","22","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","","","","Asian","","","","","Over $200,000","4yearColl"
"XA505yz","0","2025-11-07 20:10:44","100","26","1","1","","","29","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","White","","","","","","","","$0-$20,000","4yearColl"
"EM824ba","0","2025-11-07 20:42:38","100","31","1","1","","","39","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_2}","","man","White","","","","","","","","Over $200,000","MA"
"YY506vl","0","2025-11-07 21:54:12","100","21","1","1","","","25","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","woman","White","","","","","","","","Prefer not to answer","4yearColl"
"KY034uo","0","2025-11-07 22:33:57","100","36","1","1","","","30","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","$40,001-$60,000","2yearColl"
"HF352tr","0","2025-11-07 22:41:53","100","28","1","1","","","50","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","White","","","","","","","","$80,001-$100,000","4yearColl"
"WO088bm","0","2025-11-07 23:31:17","100","35","1","1","","","45","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","Hispanic, Latino, or Spanish origin","","","","","","","$0-$20,000","GED"
"RZ373wv","0","2025-11-08 01:49:03","100","25","1","1","","","43","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","I have not voted","","man","","","","Asian","","","","","Prefer not to answer","4yearColl"
"ON065fz","0","2025-11-08 02:49:05","100","26","1","1","","","29","","Seattle","Bruce Harrell","Katie Wilson","Mayoral","${e://Field/CAND_2}","","","","man","","","","Asian","","","","","$100,001-$120,000","4yearColl"
"AQ918rz","0","2025-11-08 07:52:45","100","34","1","1","","","39","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","$0-$20,000","GED"
"IL915xy","0","2025-11-08 08:44:18","100","35","1","1","","","42","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","man","","","Black or African American","","","","","","$40,001-$60,000","4yearColl"
"YW388js","0","2025-11-08 09:11:40","100","82","1","1","","","37","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","woman","","","Black or African American","","","","","","$40,001-$60,000","4yearColl"
"OE388um","0","2025-11-08 09:52:34","100","33","1","1","","","19","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","","","","","man","White","","","","","","","","$60,001-$80,000","GED"
"EA040mh","0","2025-11-08 12:12:40","100","29","1","1","","","32","","Minneapolis","Jacob Frey","Omar Fateh","Mayoral","${e://Field/CAND_2}","","","","man","White","","","","","","","","Over $200,000","4yearColl"
"GC984pq","0","2025-11-08 12:29:04","100","30","1","1","","","51","","Seattle","Bruce Harrell","Katie Wilson","Mayoral","${e://Field/CAND_1}","","","","man","White","","","","","","","","$140,001-$160,000","4yearColl"
"PU382sp","0","2025-11-08 12:54:39","100","24","1","1","","","34","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","man","","","Black or African American","","","","","","Over $200,000","4yearColl"
"VL512ui","0","2025-11-08 14:07:22","100","34","1","1","","","36","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","I have not voted","","man","White","","","","","","","","$60,001-$80,000","2yearColl"
"PW029rg","0","2025-11-08 14:23:43","100","30","1","1","","","29","","Minneapolis","Jacob Frey","Omar Fateh","Mayoral","${e://Field/CAND_1}","","","","man","White","","","","","","","","$40,001-$60,000","4yearColl"
"SD171ax","0","2025-11-08 15:13:58","100","22","1","1","","","26","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","woman","","","","Asian","","","","","$100,001-$120,000","4yearColl"
"IQ301cv","0","2025-11-08 15:17:05","100","35","1","1","","","20","","Seattle","Bruce Harrell","Katie Wilson","Mayoral","","","","","woman","White","","","","","","","","$120,001-$140,000","GED"
"GU421cz","0","2025-11-08 17:14:16","100","24","1","1","","","44","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","I have not voted","","man","White","","","","","","","","$80,001-$100,000","4yearColl"
"LC449ho","0","2025-11-08 18:16:43","100","26","1","1","","","24","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","I have not voted","","woman","White","","","","","","","","Over $200,000","4yearColl"
"FO667gx","0","2025-11-08 18:59:30","100","236","1","1","","","29","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","","","Black or African American","","","","","","$20,001-$40,000","MA"
"OW789tz","0","2025-11-08 23:15:16","100","32","1","1","","","25","n/a","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","Curtis Sliwa","","woman","","Hispanic, Latino, or Spanish origin","","","","","","","$40,001-$60,000","4yearColl"
"VL031iw","0","2025-11-09 00:06:51","100","28","1","1","","","35","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","White","","","","","","","","$60,001-$80,000","4yearColl"
"DR922dw","0","2025-11-09 02:37:58","100","38","1","1","","","29","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","man","White","","","","","","","","$20,001-$40,000","2yearColl"
"BV965xx","0","2025-11-09 03:40:45","100","29","1","1","","","25","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","","","","","woman","White","","","","","","","","$80,001-$100,000","4yearColl"
"WT858vf","0","2025-11-09 07:15:13","100","28","1","1","","","37","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","$100,001-$120,000","4yearColl"
"EH920dc","0","2025-11-09 08:33:48","100","31","1","1","","","43","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_1}","","","","woman","","","","","","","","Other (please specify)","$180,001-$200,000","4yearColl"
"HK012qp","0","2025-11-09 09:33:31","100","27","1","1","","","30","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","","","","Asian","","","","","Over $200,000","4yearColl"
"DG140bj","0","2025-11-09 09:58:40","100","52","1","1","","","29","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","","","Black or African American","","","","","","$80,001-$100,000","4yearColl"
"PB522ly","0","2025-11-09 10:17:23","100","39","1","1","","","24","","Minneapolis","Jacob Frey","Omar Fateh","Mayoral","","","","","woman","","","Black or African American","","","","","","$20,001-$40,000","4yearColl"
"AP867qx","0","2025-11-09 11:46:52","100","37","1","1","","","55","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","$120,001-$140,000","MA"
"FQ656ef","0","2025-11-09 15:04:17","100","45","1","1","","","35","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","","","","","woman","","","Black or African American","","","","","","$40,001-$60,000","GED"
"GD895pa","0","2025-11-09 16:52:03","100","36","1","1","","","62","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","$120,001-$140,000","GED"
"JH477of","0","2025-11-09 18:09:09","100","22","1","1","","","28","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","man","White","","","","","","","","$160,001-$180,000","4yearColl"
"FX544eo","0","2025-11-09 18:10:26","100","43","1","1","","","25","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","woman","","","","Asian","","","","","$40,001-$60,000","4yearColl"
"WD754jk","0","2025-11-09 22:06:35","100","41","1","1","","","42","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_1}","","","","woman","White","","","","","","","","$100,001-$120,000","MA"
"BG018dv","0","2025-11-09 23:52:19","100","18","1","1","","","27","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","","","","Asian","","","","","Over $200,000","4yearColl"
"PS671jk","0","2025-11-10 00:26:04","100","54","1","1","","","39","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","man","","Hispanic, Latino, or Spanish origin","Black or African American","","","","","","$20,001-$40,000","2yearColl"
"KR003ms","0","2025-11-10 06:32:41","100","27","1","1","","","39","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","White","","","","","","","","$20,001-$40,000","4yearColl"
"ZN644yl","0","2025-11-10 09:41:00","100","34","1","1","","","26","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","","Hispanic, Latino, or Spanish origin","","","","","","","$60,001-$80,000","4yearColl"
"NO843jb","0","2025-11-10 10:41:40","100","33","1","1","","","23","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","","","Black or African American","","","Middle Eastern or North African","","","$180,001-$200,000","2yearColl"
"EK185us","0","2025-11-10 12:27:00","100","42","1","1","","","35","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","Over $200,000","MA"
"LD769sa","0","2025-11-10 12:39:13","100","53","1","1","","","31","","Minneapolis","Jacob Frey","Omar Fateh","Mayoral","${e://Field/CAND_1}","","","","man","White","","","","","","","","$80,001-$100,000","4yearColl"
"FP639lp","0","2025-11-10 17:23:16","100","37","1","1","","","56","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_1}","","","","woman","White","","","","","","","","$0-$20,000","MA"
"FE297qe","0","2025-11-10 20:24:56","100","30","1","1","","","38","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","man","White","","","","","","","","$80,001-$100,000","4yearColl"
"XL286uv","0","2025-11-10 22:12:32","100","63","1","1","","","59","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","","","Black or African American","","","","","","$140,001-$160,000","GED"
"RV098em","0","2025-11-10 22:35:54","100","30","1","1","","","34","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","man","","","Black or African American","","","","","","$60,001-$80,000","GED"
"MM645rc","0","2025-11-10 23:56:30","100","66","1","1","","","61","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_1}","","","","woman","White","","","","","","","","Over $200,000","4yearColl"
"GC265ke","0","2025-11-11 02:12:52","100","37","1","1","","","29","","Seattle","Bruce Harrell","Katie Wilson","Mayoral","${e://Field/CAND_2}","","","","woman","White","","","","","","","","$120,001-$140,000","MA"
"YF848zd","0","2025-11-11 04:27:06","100","46","1","1","","","56","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","man","","Hispanic, Latino, or Spanish origin","","","","","","","$20,001-$40,000","2yearColl"
"FP696ga","0","2025-11-11 08:24:22","100","39","1","1","","","40","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","$160,001-$180,000","PHD"
"PI869kn","0","2025-11-11 12:10:27","100","33","1","1","","","22","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","","","","","woman","White","","","","","","","","Over $200,000","4yearColl"
"XZ269hq","0","2025-11-11 13:53:20","100","19","1","1","","","30","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","White","","","","","","","","Over $200,000","4yearColl"
