"PID","Status","Progress","Duration..in.seconds.","Finished","consent","intro","gender_.99_TEXT","race_8_TEXT","age","ideo_1","ideo_2","ideo_3","ideo_4","ideo_5","describe","how_1","why_1","why_2","why_3","why_4","why_5","IOS","antidem_1","antidem_2","antidem_3","antidem_4","antidem_5","elect","antiest_1","antiest_2","antiest_3","antiest_4","trust_con","trust_gov","trust_jud","trust_sci","trust_pol","trust_news","polparticip_1","polparticip_2","polparticip_3","polparticip_4","polparticip_5","polparticip_6","check_1","feedback","inparty","outparty","gender","race_1","race_2","race_3","race_4","race_5","race_6","race_7","race_8","income","edu","party_gen","party_gen_5_TEXT","party_dem","party_rep","party_ind","vote_2024","vote_2024_12_TEXT","vote_now","vote_now_12_TEXT"
"BR518sm","0","100","484","1","1","4","","","72","7","1","1","5","2","People who have no formal education can feel left behind.  People who have little physical strength or endurance often feel left out.  People who are very physically unattractive face much discrimination. 
People who come from a background of severe poverty are very disadvantages in many ways.","41","poverty","social status","physical strength","ungliness","lack of education","2","1","2","1","2","4","2","7","7","6","2","2","1","2","2","2","1","5","1","1","1","1","1","green","none","Republican Party","Democratic Party","woman","White","","","","","","","","$60,001-$80,000","4yearColl","Republican","","","Strong","","Donald Trump (Republican Party)","","Donald Trump (Republican Party)",""
"HN633am","0","100","387","1","1","4","","","52","5","1","1","6","1","People in America who may be feeling left behind are Democrats, the poor, homeless and immigrants given the current administration's policies. ","51","Lack of support","Lack of resources","Depression","No social network","Confused on what to do","1","2","1","1","2","2","1","2","2","3","6","2","3","3","2","2","3","4","1","1","1","1","1","Blue","","Republican Party","Democratic Party","woman","","","","Asian","","","","","$60,001-$80,000","4yearColl","Republican","","","Not very strong","","Donald Trump (Republican Party)","","Donald Trump (Republican Party)",""
"IF251av","0","100","1201","1","1","4","","","55","","6","5","5","5","The person feeling left behind is often a working-class individual, possibly middle-aged or older, from a rural or or small town. They have seen their community's jobs vanish due to automation and outsourcing, making their traditional skills feel obsolete. This is compounded by a sense of cultural alienation, as they believe their values are no longer respected in a rapidly changing society.","88","Economic disruption ","Technological Gap","Cultural Alienation","Loss of community ","","3","4","2","5","2","3","1","5","5","4","5","2","3","3","4","3","3","4","4","4","4","4","4","Blue","","Republican Party","Democratic Party","woman","White","","","","","","","","$100,001-$120,000","MA","Republican","","","Strong","","Donald Trump (Republican Party)","","Donald Trump (Republican Party)",""
"QH713sj","0","100","747","1","1","4","","","65","5","2","1","2","3","Their are many people left behind. Starting with the low income people, senior citizens, and the immigrant population. One cannot also for  get about the homeless people. America has forgotten about the poor people. The taxes and the tariffs are hurting people tremendously.","50","money","stress","health","food","benefits","4","1","1","1","1","1","2","6","5","5","3","2","2","3","4","3","3","5","5","4","3","3","3","yellow",NA,"Republican Party","Democratic Party","woman","","","Black or African American","","","","","","$0-$20,000","GED","Independent","","","","Closer to Republican","Donald Trump (Republican Party)","","Donald Trump (Republican Party)",""
"IG147ld","0","100","500","1","1","4","","","47","7","1","3","","2"," Think that the working class person is being left behind in today’s society. Things just keep getting more expensive, but only the rich seem to get benefits and tax cuts.","0","Low wages","Family poverty","Rising costs","","","3","1","1","2","1","1","2","6","5","5","3","3","3","3","4","2","2","4","3","4","2","1","1","Blue","","Democratic Party","Republican Party","woman","White","","","","","","","","$60,001-$80,000","GED","Democrat","","Strong","","","Kamala Harris (Democratic Party)","","Kamala Harris (Democratic Party)",""
"ES187sd","0","100","429","1","1","4","","","51","7","5","5","1","5","I felt like we have been left behind in previous years, I feel things are getting better and we will start seeing a better situation in the coming years ahead. ","1","Inflation","Job Opportunites","Interest Rates ","Mortgage Rates","Wages ","2","1","4","2","4","1","2","5","6","6","5","3","3","1","1","2","1","2","1","1","2","2","1","Mauve","","Republican Party","Democratic Party","woman","White","","","","","","","","$60,001-$80,000","4yearColl","Republican","","","Strong","","I did not vote","","Donald Trump (Republican Party)",""
"QK826lr","0","100","389","1","1","4","","","41","5","2","1","1","4","I think the people being left behind is the people in minimum wage jobs. Minimum wage is not enough for people to survive on. They are stuck renting places. And rent just keeps going up. ","0","Not enough money","Don’t own a house","Dead end job","","","2","2","2","2","2","2","2","4","6","4","3","2","2","3","3","2","2","2","1","1","1","1","1","Green","","Republican Party","Democratic Party","woman","White","","","","","","","","$40,001-$60,000","GED","Republican","","","Not very strong","","Donald Trump (Republican Party)","","J. D. Vance (Republican Party)",""
"OD524if","0","100","850","1","1","4","","","66","2","5","5","3","5","This person could be either conservative or progressive, depending on who their leaders are in government at national or local levels.  This could be someone in poverty or not, who is subject to social media and political divisiveness.  This person could be just about anyone, but I think especially people who are lower wage earners who consistently feel ""not listened to"" when leaders constantly talk about how well the stock market is doing, etc.","39","they are economically disadvantaged","some are liberal and feel disadvantaged","some are conservative and feel disadvantaged","","","4","2","1","2","2","2","2","5","5","4","5","2","3","3","4","2","3","5","1","5","2","4","2","green","","Democratic Party","Republican Party","man","White","","","","","","","","$20,001-$40,000","GED","Democrat","","Strong","","","Kamala Harris (Democratic Party)","","Gavin Newsom (Democratic Party)",""
"ZS865le","0","100","971","1","1","4","","","56","5","1","1","2","3","I think the working class and middle class are feeling ignored and left behind. I am a part of those 2 groups. The middle class has chosen respectable jobs and work hard to support society and themselves. Even with all the hard work, we are being hammered with inflation that we cannot possibly keep up with. It has been very difficult or even impossibly to buy a modest home to live in. When inflation rises, upper class does not seem to be impacted much at all. They receive the same rates but are caple of paying them without affecting their quality of life. ","50","Lack of respect","Financial difficulties","Fair education","Lack of quality family time","Less access to quality healthcare","4","3","2","2","3","3","2","5","5","5","5","3","3","3","3","3","2","4","2","3","3","3","2","purple","none","Republican Party","Democratic Party","woman","White","","","","","","","","$20,001-$40,000","2yearColl","Independent","","","","Closer to Republican","Donald Trump (Republican Party)","","Donald Trump (Republican Party)",""
"ZW808xn","0","100","900","1","1","4","","","32","4","7","","7","7","the typical nine to five worker. people who are living paycheck to paycheck with no extra income. that believe working a job is the only way. the people who tend to steer clear of social media and technological advancement. ","50","career development","financial freedom","status","networking","technology advancement","2","1","1","4","1","4","2","5","5","7","1","2","2","1","3","2","1","5","3","5","3","3","3","red","n/a","Republican Party","Democratic Party","man","","","Black or African American","","","","","","$60,001-$80,000","4yearColl","Independent","","","","Closer to Republican","Donald Trump (Republican Party)","","I would not vote",""
"IS771mw","0","100","309","1","1","4","","","29","1","5","7","3","6","I think that most minorities, in race, socioeconomic backgrounds, and other things like gender, are probably the most left behind by our current administration. They are rolling back services and rights in a way that I've never seen before. It seems like our country is really taking a turn for the worse, and these groups are the ones primarily targeted. ","45","Attack on rights","Less services","Less resources","Dangerous rhetoric","Public backlash","3","2","3","3","5","3","1","7","6","5","1","2","1","2","4","2","2","4","3","5","5","5","2","red","","Democratic Party","Republican Party","man","","","","Asian","","","","","$140,001-$160,000","4yearColl","Democrat","","Not very strong","","","Kamala Harris (Democratic Party)","","Gavin Newsom (Democratic Party)",""
"UY005ie","0","100","274","1","1","4","","","29","2","5","5","4","5","I think the groups that are left behind are the most marginalized groups, such as gender and sexual minorities, people with disabilities, people who live below the poverty line. We are seeing a lot of division amongst our country and I believe that is due to uncertainty and fear of the unknown. I think the people who exist in the 1% are hoarding all of the wealth and resources from those who need it most. ","40","discrimination","lack of access to wealth","lack of access to resources","low health literacy","marginalization ","3","4","4","4","4","4","1","6","4","5","2","2","3","3","3","2","3","2","3","2","2","2","2","blue","","Democratic Party","Republican Party","woman","White","","","","","","","","$80,001-$100,000","MA","Democrat","","Not very strong","","","Kamala Harris (Democratic Party)","","Kamala Harris (Democratic Party)",""
"BP912xe","0","100","604","1","1","4","","","40","5","1","","","","This person is feeling left behind because of low work opportunities. Possibly disabled with the constant run-around from today's medical field. Rising prices in the stores resulting in more stress more adjustments to survive. This person receives some assistance but not nearly enough in todays economy.","25","High prices","No work","Disability","Poor medical","Low assistance","3","2","2","2","3","5","2","5","6","6","4","3","2","3","4","3","2","5","1","3","1","1","1","Black","Went very well.","Republican Party","Democratic Party","man","White","","","","","","","","$20,001-$40,000","GED","Independent","","","","Closer to Republican","I did not vote","","Donald Trump (Republican Party)",""
"QZ918wy","0","100","1312","1","1","4","","","51","1","7","7","1","7","In the current United States, the people who are being left behind the most are reasonable people just trying to live their lives without government interference. These are people who want their children educated in good public schools without the interference of book banners and pushers of Christianity. They are people who want to vaccinate their children without the interference of anti-vaxxer government officials who should never have been granted the power they have to influence medical decisions. They are people who want to plan their families or have abortion as an option when its medically necessary. They are people who want to be able to send their children to school without worrying about them being gunned down by yet another gun-toting maniac in a nation of too many guns and too few gun restrictions. These people are of all races, colors, and creeds, but their voices are being drowned out by a media who describes a fascist takeover in terms of a horse-race instead of the real danger it represents. The reasonable, average American is the most overlooked, while the crackpots, the anti-vaxxers, and the radical right wingers are advancing us all straight into authoritarianism. That's how things are working today, and it's frightening to witness.","70","The media is not accurately reporting the truth to them.","Politicians aren't fighting for them.","Their votes are being gerrymandered so that they no longer count.","They see the country marching backwards with every ruling by a radical Supreme Court","The number of dead children in schools only increases, and nothing is ever done to help.","5","3","2","3","2","3","2","7","6","5","3","2","2","3","4","2","3","5","4","5","4","4","4","blue","Best of luck with your research!","Democratic Party","Republican Party","man","White","","","","","","","","$40,001-$60,000","4yearColl","Democrat","","Strong","","","Kamala Harris (Democratic Party)","","Gavin Newsom (Democratic Party)",""
"QW635bx","0","100","359","1","1","4","","","34","6","2","1","5","4","People in the middle class whose jobs may be taken away by advancing society. There are some lower class people who fall through the cracks, but I think some of that is due to individual personality. But when you are told to go to college, find a passion, like the middle class has been told over time and then you graduate and find there is nothing left for you and your skills are not valued, it can be devastrating.","26","no jobs","failed expectations","no respect for their skills","","","2","3","2","2","4","1","2","2","5","5","1","1","2","4","3","2","1","4","4","3","2","2","1","green","","Republican Party","Democratic Party","woman","White","","","","","","","","$40,001-$60,000","4yearColl","Republican","","","Strong","","Donald Trump (Republican Party)","","Donald Trump (Republican Party)",""
"HX142vt","0","100","863","1","1","4","","","55","1","5","5","4","5","I believe minorities are being left behind in the United States in terms of being treated with respect and not having access to affordable housing, education, health services, and other social services etc. We should also include illegal immigrants who are being hunted down by a right wing administration.","50","Substandard and unaffordable housing","Substandard and unaffordable education","Substandard and unaffordable health services","Substandard and unaffordable social and economic services in general","","2","2","2","2","1","2","2","6","3","2","4","2","3","3","4","2","3","4","3","1","1","1","1","Blue","I do not have any comment or feedback to provide.","Democratic Party","Republican Party","man","","Hispanic, Latino, or Spanish origin","","","","","","","$20,001-$40,000","2yearColl","Democrat","","Strong","","","Kamala Harris (Democratic Party)","","Gavin Newsom (Democratic Party)",""
"LW509oi","0","100","431","1","1","4","","","38","4","3","3","4","3","I believe the immigrants in this country are feeling left behind and scared of not knowing what will happen to them or their families from day to day. The USA is supposed to be a country of freedom that welcomes people from all around the world. America was created from people who came to America to seek a better life and freedom. Now the country is starting to seem more like a Communist country .","46","Mad","Sad","Anger","Despair ","Disappointment ","3","2","1","4","2","4","2","6","6","7","3","2","2","2","3","1","3","5","3","5","3","2","1","Blue ","","Democratic Party","Republican Party","man","","","","Asian","","","","","$80,001-$100,000","4yearColl","Democrat","","Strong","","","Kamala Harris (Democratic Party)","","Gavin Newsom (Democratic Party)",""
"XS566ox","0","100","629","1","1","4","","","50","1","2","3","2","2","I'm the kind of person that is feeling left behind . The middle aged moderate is a person with a party or anyone speaking up for them . I'm sure no right wing MAGA red hat wearing moron , but I also no longer really fit in the lefty wackoos who do not know if they are a man or woman or which bathroom they should use . I need a 3rd party for just hard working common sense trustworthy americans.
","80","no longer fit in","hate both dems and republicans","feel like they have no one speaking for them","they are some where in the middle and most of the country is far left and far right","no political party feels like they want them","5","1","1","1","1","1","1","6","6","6","2","1","1","3","3","1","2","5","4","3","1","1","1","red","","Democratic Party","Republican Party","man","White","","","","","","","","$40,001-$60,000","4yearColl","Democrat","","Not very strong","","","Kamala Harris (Democratic Party)","","Gavin Newsom (Democratic Party)",""
"KR361he","0","100","441","1","1","4","","","27","","4","4","4","","I believe people who did not attend college are some of those that feel left behind. That includes me, the working class who were relying on decent stable jobs are now becoming scare. It's been pretty tough even for me to even get a warehouse job.","87","skills","confidence","social skills","networking","","5","","","","","","2","4","6","5","4","2","1","2","4","2","2","2","2","4","3","3","3","Black","","Non-Partisan","Non-Partisan","man","","Hispanic, Latino, or Spanish origin","","","","","","","$20,001-$40,000","GED","Independent","","","","Neither","Kamala Harris (Democratic Party)","","Kamala Harris (Democratic Party)",""
"JU593vn","0","100","1132","1","1","4","","","45","5","5","3","4","6","The kind of people feeling left behind today is often the middle aged working class man who trade or industry where they work has been outsourced or replace by technology. He is struggling only only to keep up financially but aslo to understand a world that seems to be moving on without him. He feels his hard work no longer provides the same opportunities as it once did and that society and politicians have forgotten about his way of life","50","He is struggling to keep up financially as his hard work no longer provides the same opportunities it once did","Since the trade or industry he works in has been replaced by technology leaving him without stable employment","They feels that the world is moving on without them and that their way of life is no longer valved or understood","Political and social neglect, he believes that the society and the political systen have forgotten about him and people like him","","2","1","1","1","1","1","2","5","6","5","3","2","2","3","3","2","2","5","2","2","2","2","1","Gray","","Republican Party","Democratic Party","man","White","","","","","","","","$140,001-$160,000","MA","Republican","","","Not very strong","","Donald Trump (Republican Party)","","I would not vote",""
"ZH364be","0","100","737","1","1","4","","","48","1","7","6","1","7","I think that anyone who isn't a white middle-class or above, heterosexual, and cisgender is feeling left behind right now.  More than that, they feel attacked.  They feel that the Federal government is going to extensive lengths to marginalize them into virtual nonexistence.  ","60","attacks on gender-affirming care","removal of information about slavery in schools and museums","removal of protections for LGBTQ members of the military","Brutal incarceration of suspected illegal immigrants, some of whom are here legally","","3","1","1","2","2","2","2","6","5","4","4","2","2","2","4","2","2","5","5","4","4","3","4","blue","","Democratic Party","Republican Party","man","White","","","","","","","","$100,001-$120,000","2yearColl","Democrat","","Strong","","","Kamala Harris (Democratic Party)","","Kamala Harris (Democratic Party)",""
"CH849iz","0","100","217","1","1","4","","","22","4","7","1","1","4","I would say people who want to keep the US as a global power and a beacon of democracy and liberalism to the world. Trump and his MAGA cult has corrupted the US with a cancer called populism which claws at our society. ","100","Donald Trump","MAGA","Tariffs","Wars","Populism","1","1","1","1","1","1","1","1","1","1","7","4","4","4","4","4","4","1","1","1","1","1","1","Green","","Republican Party","Democratic Party","man","","","","Asian","","","","","$40,001-$60,000","GED","Republican","","","Strong","","Donald Trump (Republican Party)","","Gavin Newsom (Democratic Party)",""
"GU002pb","0","100","1333","1","1","4","","","25","1","7","7","6","7","I often think about the term the ""American Dream"" a lot, especially now after hearing about all of the immigration stories. Before, thousands, maybe even a million people immigrated to the US for a better life. We were the ""destination"" country, to come and get an education for, grab a job, and be able to help their families back home. Now? We've lost all sight of that... now it's just greedy in here. And white people trying to claim this their home when in reality it's all of our homes. (Really, it's the Native American's homes...) Now, it's overridden, overworked, only the rich can cater to the rich while the poor struggle to stay alive admist their pile of bills that they owe. That kind of person would probably feel depressed... maybe even suicidal. If anything, they might be making plans to leave the country. ","40","Feeling like they cannot stand up or get themselves together.","Thinking that things cannot get any better.","Being overwhelmed by the constant state of fear and anxiety of just being in this country.","Having to walk on eggshells near certain people.","","3","5","1","3","1","4","2","7","7","5","1","1","1","2","4","2","3","5","5","5","5","5","4","Red","N/a","Democratic Party","Republican Party","woman","","Hispanic, Latino, or Spanish origin","","","","","","","$0-$20,000","4yearColl","Democrat","","Not very strong","","","Kamala Harris (Democratic Party)","","Kamala Harris (Democratic Party)",""
"LR209uv","0","100","415","1","1","4","","","45","3","6","3","5","3","The one feeling left behind are the minorities and those who cannot afford the living standards in the country comfortably. For the minorities, there are cases of discrimination and it makes them left behind and hurt by all the mess we face as a country. The poor or low class also suffer for failing to meet their basics.","16","Poor living conditions","Harassment ","Lack of basic amenities","","","2","2","3","1","1","1","2","5","3","3","6","3","3","3","3","2","3","3","3","4","2","4","4","Blue","","Republican Party","Democratic Party","man","White","","","","","","","","$100,001-$120,000","4yearColl","Republican","","","Not very strong","","Donald Trump (Republican Party)","","Donald Trump (Republican Party)",""
"NU629wr","0","100","487","1","1","4","","","58","1","5","4","3","5","I think any one of color is feeling left behind. Also, anyone that is not rich is feeling left behind and forgotten about.","39","They don't get the same benifits","They feel disenfranchised","They feel that they get harsher punishments","","","3","2","2","2","2","2","2","6","6","6","2","1","2","2","4","2","3","5","4","5","3","4","3","red","","Democratic Party","Republican Party","man","White","","","","","","","","$60,001-$80,000","2yearColl","Democrat","","Strong","","","Kamala Harris (Democratic Party)","","Gavin Newsom (Democratic Party)",""
"RD417ye","0","100","975","1","1","4","","","70","7","1","1","7","1","Everyone who is not participating in crony capitalism is being hurt. Those who have the money to give them unfair power are sucking up every penny that they can and laughing at what they see as the suckers who aren't stopping them.","15","Resources are not available ","Pricing has been fixed to benefit the few","Government is now an enemy of the common resident ","","","4","1","1","2","2","4","2","7","4","3","2","2","2","2","4","2","3","5","1","2","2","2","1","Sky blue","","Democratic Party","Republican Party","man","White","","","","","","","","$40,001-$60,000","2yearColl","Democrat","","Strong","","","Kamala Harris (Democratic Party)","","Other (please specify)","Alexandria Ocasio-Cortez"
"ZH303ej","0","100","604","1","1","4","","","39","3","4","3","","4","I think the kind of person being left behind by the way things are currently done in the U.S. is a working class person. This person makes a decent living, has a modest home and modest car. This person is mostly to pay all their bills, but most months misses a bill or pays them late. This person works a steady 9-5 job and has to do some side hustles to supplement their income. This person is exhausted and feels like it's a never ending battle to survive in this society and economy. They feel like they will never be above water and thriving, even though they already work so hard. ","21","never makes enough money to get ahead","always exhausted","can't keep up with expenses","","","4","","","","","","2","5","5","6","4","2","2","3","3","2","2","3","1","2","2","1","1","purple","","Non-Partisan","Non-Partisan","woman","White","","","","","","","","$80,001-$100,000","GED","Independent","","","","Neither","Donald Trump (Republican Party)","","Gavin Newsom (Democratic Party)",""
"IW068ln","0","100","1215","1","1","4","","","21","5","5","5","3","5","The working class and the poor. The common everyday has been forgotten by most of the higher society due to the decisions made by people no longer alive. ","35","economics desparity ","stagnant minimum wage ","lack of community ","the job market ","","3","1","1","1","1","1","2","5","5","5","2","2","1","3","3","2","3","4","2","3","3","2","2","fuchsia ","No","Republican Party","Democratic Party","man","","Hispanic, Latino, or Spanish origin","","","","","","","Prefer not to answer","GED","Republican","","","Not very strong","","Donald Trump (Republican Party)","","Gavin Newsom (Democratic Party)",""
"MB015ck","0","100","789","1","1","4","","","68","4","3","1","2","3","The kind of person whom I feel is being left behind by the way things work today is the individual (s) whom are only ""seen"" via online data run through algorithms.  For example, I would be an excellent choice for many office jobs.  I am as mentally fit as I have always been, and I am honest and hard working.  However, my age is 68, and for that reason I'm invisible to employers.  I am blessed to be able to do online studies, and I'm extremely thankful and grateful that there is no ageism on this platform.  This issue is  not exclusive to older people.  Poor people who are not online, or people no familiar with technology are left out as well.  Years ago one went inside a business, inquired as to if they were hiring, and had a face to face meeting.  Now the manager pulls the lists out of the data AI has gone through and the people being called may be so much less qualified than those who cannot be heard or seen.  AI has a very valuable role in business and today's world, but it also narrows, tremendously, the ability for certain demographic groups to be treated equally.","20","Lack of job opportunities","Lack of ability to sign up for benefits","Lack of ability to bank or be paid","Lack of ability to find medical facilities or other medical data","Lack of ability to be connected to the world as it currently is","3","2","3","3","2","4","2","5","3","3","4","2","3","3","3","1","2","5","1","1","3","2","2","Green","In my written response I used poor grammar in one instance.  I meant to type ""not"" and ""no"" is what shows.  This is important for me, as I do not want to appear ignorant.  Thank you for a very thought provoking and interesting study.","Republican Party","Democratic Party","woman","White","","","","","","","","$20,001-$40,000","4yearColl","Independent","","","","Closer to Republican","Kamala Harris (Democratic Party)","","Donald Trump (Republican Party)",""
"KM462yb","0","100","906","1","1","4","","","55","3","4","5","4","4","With Trump in office I would estimate greater than 60% of mostly the lower classes are feeling left behind by the way that they are being fleeced through the unbalanced tax and tariffs that are being lobsidedly mposed on them fo the beneft of the top 2% by wealth in this country.","50","The tarrifs will eat into their budgets ","their healthcare costs are going to go up","their social services are going down","their consumer protection rights are being scaled back","their basic constitutional rights are being challenged","5","","","","","","2","7","7","4","1","1","1","3","4","1","1","5","2","2","3","1","1","Blue","","Non-Partisan","Non-Partisan","man","White","","","","","Middle Eastern or North African","","","$40,001-$60,000","4yearColl","Independent","","","","Neither","Kamala Harris (Democratic Party)","","Other (please specify)","Alexandria Ocasio-Cortez"
"KL355qd","0","100","1439","1","1","4","","","37","4","4","4","4","5","The middle class person is being squeezed. They are not entitled to any of the benefits that welfare can give but yet pay for everything, as they don't have access to the benefits of the rich,","40","they pay more taxes","they don't have any rich tax advantages","they are stuck in a cycle","","","3","","","","","","2","6","6","4","3","2","2","2","3","2","2","3","3","3","3","3","2","purple","","Non-Partisan","Non-Partisan","woman","","","","Asian","","","","","$120,001-$140,000","4yearColl","Independent","","","","Neither","Kamala Harris (Democratic Party)","","Gavin Newsom (Democratic Party)",""
"SZ860xq","0","100","1166","1","1","4","","","37","6","1","2","6","2","A lot of people are out of work, or the work they do have is minimum wage, they can barely afford the rent. They can't save, buy a house, go on vacation, or do anything a ""normal"" person is supposed to do. People can stay in this position for years and never recover.","17","lack of money","low income job","low education","can't afford to stop working and advance","","3","2","3","2","3","2","1","5","5","3","2","1","1","1","1","2","1","4","2","3","2","1","1","blue","","Republican Party","Democratic Party","man","White","","","","","","","","$40,001-$60,000","GED","Republican","","","Strong","","Donald Trump (Republican Party)","","Other (please specify)","Ron Paul"
"PW788dr","0","100","1041","1","1","4","","","66","6","2","3","2","5","I feel like our hero’s! Our Veterans, the people that put there lives and health on the line to protect the American people, to protect me!! They are becoming homeless , unable to take care of themselves , due to illness, or worse mental illnesses that came about because of their duties in the services. The are down trodden and feeling like nobody cared about them. Like everything they did for America was just forgotten. And yet we treat illegal foreigners better than we treat our own citizens, that taught for our freedom. It’s absolutely shameful! Our Veterans should have the best of everything! A safe place to live, free medical, healthy food, and most of all RESPECT!! ","52","Unable to afford food","Unable to afford medical ","Can’t pay bills","Disrespect ","No help ","5","3","2","3","4","6","2","4","2","4","4","2","2","3","2","2","2","2","1","1","1","1","1","Teal","","Republican Party","Democratic Party","woman","White","","","","","","","","$40,001-$60,000","GED","Republican","","","Not very strong","","Donald Trump (Republican Party)","","Other (please specify)","I don’t know "
"FB269qp","0","100","357","1","1","4","","","50","6","1","1","1","1","I feel ""normal"" people are the ones being left behind.  If you aren't LGBTQ, a minority or an illegal immigrant no one seems to care.  only outliers and extremeists are being taken seriously.  Its sad.","63","marginilized","no accountability","scared","poor","","5","1","1","1","1","1","2","4","4","3","2","1","1","2","3","1","1","5","1","1","3","3","1","Green","Thank you","Republican Party","Democratic Party","man","White","Hispanic, Latino, or Spanish origin","","","","","","","$60,001-$80,000","4yearColl","Independent","","","","Closer to Republican","Donald Trump (Republican Party)","","Donald Trump (Republican Party)",""
"MU681vu","0","100","1546","1","1","4","","","60","3","4","5","5","5","People who have low income or no jobs and are unable to make monthly espenses.  They have a hard time staying afloat, if they can at all. They have a hard time getting the money they need for essentials.","10","lost their job","can't find work","can't afford basic essentials","","","5","1","1","1","1","2","2","3","5","6","4","3","2","3","4","3","4","4","5","3","3","1","2","Blue","","Republican Party","Democratic Party","woman","White","","","","","","","","$0-$20,000","GED","Republican","","","Strong","","Donald Trump (Republican Party)","","Donald Trump (Republican Party)",""
"AG956kd","0","100","1558","1","1","4","","","55","6","1","1","5","3","i feel like the conservative Christian feels left behind. They see the traditional ways of doing things eroded greatly since the 70s, 80s and 90s. they feel like society is eroding as conservative values are being dismissed  ","95","rejection of traditional morals","women's rihts being challenged by men who say they are just as female ","lack of respect for the federal government","lack of reverence for the US military","no longer teaching children respect for elders and teachers","4","1","1","1","1","2","2","2","2","3","7","3","4","4","4","3","2","5","5","5","4","4","2","Blue","Have a great day!","Republican Party","Democratic Party","man","White","","","","","","","","$80,001-$100,000","2yearColl","Republican","","","Not very strong","","Donald Trump (Republican Party)","","Donald Trump (Republican Party)",""
"AD523bk","0","100","362","1","1","4","","","29","2","4","5","2","5","People who are really struggling right now are low income households. Prices have skyrocketed and it is hard to even afford food or health care.","11","poor","struggling","minority","","","4","1","1","1","1","2","2","7","7","7","2","2","1","2","3","2","2","1","3","1","3","1","1","green","","Democratic Party","Republican Party","woman","White","","","","","","","","$40,001-$60,000","GED","Democrat","","Not very strong","","","Kamala Harris (Democratic Party)","","Kamala Harris (Democratic Party)",""
"LJ535me","0","100","588","1","1","4","","","72","2","7","5","1","6","I believe a left behind person would feel that their efforts are useless. You work so hard and prices are going up higher and higher. With a paycheck not going up you have to cut back on just about everything. This is very frustrating  and discouraging. It makes you feel like your back is against a wall with no where to go.","15","high taxes","food prices going up higher and higher","medication costs","government services cut","layoffs","4","1","1","1","3","1","2","7","7","6","3","1","1","2","3","1","1","5","4","5","3","5","1","yellow","","Democratic Party","Republican Party","woman","","","Black or African American","","","","","","$60,001-$80,000","GED","Independent","","","","Closer to Democratic","Kamala Harris (Democratic Party)","","Kamala Harris (Democratic Party)",""
"EF949eu","0","100","405","1","1","4","","","44","6","1","1","4","1","I think most people have been left behind, but this started with the last presidential administration, not the current.  Most people are currently and for some time now have been unable to purchase a house, or afford to buy a car, food, insurance, you name it.","3","cost of living","economic uncertainty","businesses price gouging","","","3","2","2","2","2","4","2","4","6","7","2","1","2","2","3","2","1","3","3","3","1","1","1","Blue","","Republican Party","Democratic Party","woman","White","","","","","","","","$80,001-$100,000","2yearColl","Independent","","","","Closer to Republican","Donald Trump (Republican Party)","","J. D. Vance (Republican Party)",""
"EG942sk","0","100","883","1","1","4","","","30","5","4","4","4","4","This kind of person probably lacks access to basic amenities due to background or legal status. Now, there's the group of people under this emblem that are felt feeling this way, due to under-representation, marginalisation, and so forth.","41","The person is underrepresentated, so they are not heard","The person is over the working bracket and has no family to support their welfare","Lower economic status due to migration","","","1","1","5","3","3","1","1","3","3","2","5","3","3","3","4","3","2","5","5","1","5","2","2","purple","none","Republican Party","Democratic Party","woman","","","Black or African American","","","","","","$80,001-$100,000","4yearColl","Republican","","","Not very strong","","Donald Trump (Republican Party)","","J. D. Vance (Republican Party)",""
"LQ622ht","0","100","463","1","1","4","","","19","5","2","2","3","1","I feel that people who are genuinely trying to claim asylum are being left behind because they are being harmed by the ICE policies that are targeting illegal immigrants. This person also faces an asylum system that is quite inefficient.","36","This person may face deportation","This person is seen as ""an enemy"" by some","This person likely struggles financially","","","1","1","1","1","1","1","2","4","6","5","2","2","2","3","4","2","2","4","1","1","1","1","1","Red","","Republican Party","Democratic Party","man","","","","Asian","","","","","Over $200,000","GED","Republican","","","Not very strong","","Donald Trump (Republican Party)","","I would not vote",""
"UK303lv","0","100","334","1","1","4","","","34","1","1","1","1","1","Any minority feels left behind because of how ignorant our president is and the laws he tries to make.","49","Laws","Racists","Transphobes","Homophobes","President","1","","","","","","2","7","7","7","1","1","1","2","3","1","1","1","1","1","1","1","1","Green","","Non-Partisan","Non-Partisan","man","White","","","","","","","","$20,001-$40,000","GED","No preference","","","","Neither","I did not vote","","I would not vote",""
